order_id,customer_id,order_date,revenue,product_category,country,email,age,product_category_clean,country_clean,order_date_clean,was_date_missing,revenue_clean,age_clean,is_valid_email
57,148.0,10.8.2023,285.24,books,GERMANY,user616@gmail.com,60.0,Книги,Германия,2023-08-10,False,285.24,60.0,True
58,133.0,,189.88,beuty,germany,user726@,38.0,Красота,Германия,2023-08-06,True,189.88,38.0,False
59,182.0,2023-01-22,35.33,cloting,America,user313gmail.com,42.0,Одежда,США,2023-01-22,False,35.33,42.0,False
60,294.0,7/18/2023,29.2,beuty,USA,user180@gmail.com,39.0,Красота,США,2023-07-18,False,29.2,39.0,True
61,49.0,2023-04-09,299.12,beauty,USA,user141@,49.0,Красота,США,2023-04-09,False,294.27599999999995,49.0,False
62,286.0,18.1.2023,143.41,Красота,Russian Federation,user947@gmail.com,20.0,Электроника,Россия,2023-01-18,False,143.41,20.0,True
63,162.0,неизвестно,262.76,Одежда,Russia,user835@,64.0,Электроника,Россия,2023-05-21,False,262.76,64.0,False
64,51.0,2023-12-15,188.9,bokks,США,,65.0,Книги,Неизвестно,2023-12-15,False,188.9,65.0,False
65,263.0,2023-07-21,138.0,electronics,Russia,user916@,40.0,Электроника,Россия,2023-07-21,False,138.0,40.0,False
66,,неизвестно,142.12,books,russia,invalid_email,63.0,Книги,Россия,2023-03-12,False,142.12,63.0,False
67,224.0,2023-02-19,132.71,cloting,США,user4gmail.com,54.0,Одежда,Неизвестно,2023-02-19,False,132.71,54.0,False
68,,5/10/2023,202.4,books,America,user342@gmail.com,51.0,Книги,США,2023-05-10,False,202.4,51.0,True
69,173.0,2023-10-21,66.56,BOOKS,Russia,user292@,57.0,Книги,Россия,2023-10-21,False,66.56,57.0,False
70,164.0,2023-11-07,287.14,Eletronics,Russia,invalid_email,34.0,Электроника,Россия,2023-11-07,False,287.14,34.0,False
71,201.0,2/21/2023,217.38,Одежда,America,user803@,,Электроника,США,2023-02-21,False,217.38,,False
72,102.0,12/19/2023,241.2,beauty,Германия,user592@,40.0,Красота,Неизвестно,2023-12-19,False,241.2,40.0,False
73,198.0,2023-02-25,207.58,,DE,user401gmail.com,31.0,Электроника,Германия,2023-02-25,False,207.58,31.0,False
74,7.0,2023-03-16,228.62,BEAUTY ,USA,user402gmail.com,41.0,Красота,США,2023-03-16,False,228.62,41.0,False
75,188.0,,222.93,books,USA,invalid_email,35.0,Книги,США,2023-09-16,True,222.93,35.0,False
76,108.0,7/3/2023,168.1,Электроника,USA,user814@gmail.com,33.0,Электроника,США,2023-07-03,False,168.1,33.0,True
77,239.0,2023-10-25,20.94,Книги,germany,user670gmail.com,18.0,Электроника,Германия,2023-10-25,False,20.94,18.0,False
78,73.0,2023-09-24,92.52,CLOTHING,USA,user302@,24.0,Одежда,США,2023-09-24,False,92.52,24.0,False
79,59.0,неизвестно,53.69,BOOKS,RUSSIA,user825@gmail.com,22.0,Книги,Россия,2023-11-28,False,53.69,22.0,True
80,47.0,2023-09-03,164.27,Красота,,user160@,64.0,Электроника,Неизвестно,2023-09-03,False,164.27,64.0,False
81,,неизвестно,94.37,cloting,russia,user738gmail.com,22.0,Одежда,Россия,2023-07-16,False,94.37,22.0,False
82,226.0,неизвестно,158.85,CLOTHING,RU,invalid_email,57.0,Одежда,Россия,2023-08-09,False,158.85,57.0,False
83,115.0,3/24/2023,225.49,beuty,DE,user353@,60.0,Красота,Германия,2023-03-24,False,225.49,60.0,False
84,181.0,4/27/2023,264.12,beuty,America,,53.0,Красота,США,2023-04-27,False,264.12,53.0,False
85,77.0,,111.4,cloting,,invalid_email,-5.0,Одежда,Неизвестно,2023-07-04,True,111.4,26.0,False
86,74.0,2023-02-28,282.42,elecronics,Россия,invalid_email,18.0,Электроника,Неизвестно,2023-02-28,False,282.42,18.0,False
87,120.0,18.2.2023,201.32,BEAUTY ,Germany,user7@gmail.com,68.0,Красота,Германия,2023-02-18,False,201.32,68.0,True
88,26.0,2/4/2023,242.55,BOOKS,RUSSIA,user84@,61.0,Книги,Россия,2023-02-04,False,242.55,61.0,False
89,,,131.33,Eletronics,russia,invalid_email,52.0,Электроника,Россия,2023-05-21,True,131.33,52.0,False
90,,2023-08-12,64.59,beauty,United States,user27gmail.com,61.0,Красота,США,2023-08-12,False,64.59,61.0,False
91,,неизвестно,20.34,clothing,,invalid_email,39.0,Одежда,Неизвестно,2023-09-20,False,20.34,39.0,False
92,117.0,8/8/2023,,Красота,germany,user166@,55.0,Электроника,Германия,2023-08-08,False,155.10500000000002,55.0,False
93,267.0,24.9.2023,159.69,BEAUTY ,Russia,user936gmail.com,50.0,Красота,Россия,2023-09-24,False,159.69,50.0,False
94,77.0,неизвестно,76.24,Красота,Германия,invalid_email,20.0,Электроника,Неизвестно,2023-07-10,False,76.24,20.0,False
95,9.0,2023-07-09,244.48,BOOK,USA,invalid_email,20.0,Книги,США,2023-07-09,False,244.48,20.0,False
96,,неизвестно,89.19,Книги,GERMANY,invalid_email,49.0,Электроника,Германия,2023-02-15,False,89.19,49.0,False
97,82.0,3/22/2023,42.83,beuty,russia,user445@gmail.com,38.0,Красота,Россия,2023-03-22,False,42.83,38.0,True
98,24.0,неизвестно,161.36,Красота,,invalid_email,53.0,Электроника,Неизвестно,2023-12-07,False,161.36,53.0,False
99,262.0,3/19/2023,150.43,BOOK,Russia,invalid_email,61.0,Книги,Россия,2023-03-19,False,150.43,61.0,False
100,2.0,,263.81,BOOK,germany,invalid_email,42.0,Книги,Германия,2023-02-07,True,263.81,42.0,False
101,66.0,5.5.2023,291.55,BOOK,США,user707gmail.com,58.0,Книги,Неизвестно,2023-05-05,False,291.55,58.0,False
102,276.0,12.1.2023,189.55,BOOK,RU,user204@gmail.com,64.0,Книги,Россия,2023-01-12,False,189.55,64.0,True
103,108.0,20.2.2023,34.48,ELECTRONICS,russia,user757@,31.0,Электроника,Россия,2023-02-20,False,34.48,31.0,False
104,276.0,,,Красота,USA,user495@,37.0,Электроника,США,2023-09-12,True,155.10500000000002,37.0,False
105,126.0,,65.47,ELECTRONICS,United States,,18.0,Электроника,США,2023-12-15,True,65.47,18.0,False
106,218.0,10.2.2023,235.19,Одежда,germany,user1@,65.0,Электроника,Германия,2023-02-10,False,235.19,65.0,False
107,90.0,неизвестно,262.6,BEAUTY,GERMANY,user585@gmail.com,55.0,Красота,Германия,2023-08-13,False,262.6,55.0,True
108,102.0,6.2.2023,248.99,clothing,Германия,,50.0,Одежда,Неизвестно,2023-02-06,False,248.99,50.0,False
109,291.0,неизвестно,3348.246830804604,Одежда,germany,user974@gmail.com,65.0,Электроника,Германия,2023-05-04,False,294.27599999999995,65.0,True
110,117.0,,182.45,books,Россия,user43gmail.com,38.0,Книги,Неизвестно,2023-02-13,True,182.45,38.0,False
111,117.0,неизвестно,75.2,Книги,RUSSIA,,64.0,Электроника,Россия,2023-12-13,False,75.2,64.0,False
112,136.0,4/18/2023,166.29,clothing,Germany,user586@gmail.com,53.0,Одежда,Германия,2023-04-18,False,166.29,53.0,True
113,263.0,2023-12-24,,cloting,US,user10gmail.com,41.0,Одежда,США,2023-12-24,False,155.10500000000002,41.0,False
114,154.0,5.4.2023,206.91,Красота,Россия,user993gmail.com,61.0,Электроника,Неизвестно,2023-04-05,False,206.91,61.0,False
115,119.0,,189.99,BOOKS,America,,52.0,Книги,США,2023-12-16,True,189.99,52.0,False
116,146.0,10.6.2023,,bokks,Россия,,50.0,Книги,Неизвестно,2023-06-10,False,155.10500000000002,50.0,False
117,73.0,2023-11-06,38.93,Eletronics,Germany,user160gmail.com,20.0,Электроника,Германия,2023-11-06,False,38.93,20.0,False
118,130.0,неизвестно,150.26,Одежда,Germany,,33.0,Электроника,Германия,2023-06-11,False,150.26,33.0,False
119,158.0,2023-07-16,2203.41243341302,Одежда,russia,invalid_email,,Электроника,Россия,2023-07-16,False,294.27599999999995,,False
120,248.0,неизвестно,91.97,Одежда,USA,invalid_email,31.0,Электроника,США,2023-04-12,False,91.97,31.0,False
121,151.0,2/9/2023,105.55,BEAUTY ,Россия,user262@,54.0,Красота,Неизвестно,2023-02-09,False,105.55,54.0,False
122,12.0,2023-10-06,263.06,CLOTHING,russia,user848@gmail.com,,Одежда,Россия,2023-10-06,False,263.06,,True
123,206.0,неизвестно,154.22,ELECTRONICS,Россия,,23.0,Электроника,Неизвестно,2023-01-24,False,154.22,23.0,False
124,117.0,8/21/2023,173.87,Книги,germany,invalid_email,,Электроника,Германия,2023-08-21,False,173.87,,False
125,,12/23/2023,148.74,electronics,США,user690@gmail.com,38.0,Электроника,Неизвестно,2023-12-23,False,148.74,38.0,True
126,190.0,7.12.2023,85.14,BEAUTY ,Россия,user422gmail.com,52.0,Красота,Неизвестно,2023-12-07,False,85.14,52.0,False
127,92.0,,57.47,CLOTHING,Германия,user650gmail.com,30.0,Одежда,Неизвестно,2023-06-12,True,57.47,30.0,False
128,,5/21/2023,50.73,BOOKS,Россия,invalid_email,46.0,Книги,Неизвестно,2023-05-21,False,50.73,46.0,False
129,42.0,,204.43,cloting,Russia,,57.0,Одежда,Россия,2023-08-16,True,204.43,57.0,False
130,203.0,8/27/2023,146.17,Книги,RU,,,Электроника,Россия,2023-08-27,False,146.17,,False
131,109.0,24.3.2023,4826.0055931979205,Одежда,germany,user436@,60.0,Электроника,Германия,2023-03-24,False,294.27599999999995,60.0,False
132,261.0,6/15/2023,235.38,cloting,RUSSIA,user463@gmail.com,58.0,Одежда,Россия,2023-06-15,False,235.38,58.0,True
133,119.0,10/21/2023,156.08,BEAUTY,RUSSIA,user523@gmail.com,42.0,Красота,Россия,2023-10-21,False,156.08,42.0,True
134,124.0,9/18/2023,75.29,bokks,,user917gmail.com,66.0,Книги,Неизвестно,2023-09-18,False,75.29,66.0,False
135,18.0,,223.98,clothing,Germany,user256@,30.0,Одежда,Германия,2023-11-27,True,223.98,30.0,False
136,29.0,,161.64,books,GERMANY,,36.0,Книги,Германия,2023-12-25,True,161.64,36.0,False
137,30.0,неизвестно,149.24,BEAUTY,United States,user261@,49.0,Красота,США,2023-05-10,False,149.24,49.0,False
138,10.0,,119.51,Книги,US,user932gmail.com,,Электроника,США,2023-06-23,True,119.51,,False
139,14.0,2023-02-21,105.57,beuty,RU,,52.0,Красота,Россия,2023-02-21,False,105.57,52.0,False
140,230.0,,1713.4903372293193,,Russian Federation,user942@gmail.com,24.0,Электроника,Россия,2023-02-03,True,294.27599999999995,24.0,True
141,14.0,24.5.2023,188.98,electronics,,,48.0,Электроника,Неизвестно,2023-05-24,False,188.98,48.0,False
142,19.0,,44.81,BEAUTY ,,user763@,50.0,Красота,Неизвестно,2023-09-05,True,44.81,50.0,False
143,260.0,неизвестно,255.14,BOOKS,USA,,67.0,Книги,США,2023-02-16,False,255.14,67.0,False
144,107.0,2023-06-13,35.72,Электроника,germany,,22.0,Электроника,Германия,2023-06-13,False,35.72,22.0,False
145,90.0,неизвестно,238.46,elecronics,Russian Federation,invalid_email,37.0,Электроника,Россия,2023-08-04,False,238.46,37.0,False
146,36.0,,93.28,Электроника,germany,user906gmail.com,26.0,Электроника,Германия,2023-03-16,True,93.28,26.0,False
147,184.0,20.2.2023,135.11,clothing,Russian Federation,user978@,24.0,Одежда,Россия,2023-02-20,False,135.11,24.0,False
148,154.0,неизвестно,294.27,Eletronics,russia,user599@gmail.com,29.0,Электроника,Россия,2023-10-08,False,294.27,29.0,True
149,161.0,5/4/2023,172.63,electronics,США,user681@gmail.com,23.0,Электроника,Неизвестно,2023-05-04,False,172.63,23.0,True
150,5.0,6/16/2023,148.85,clothing,Germany,invalid_email,68.0,Одежда,Германия,2023-06-16,False,148.85,68.0,False
151,32.0,,165.43,Одежда,Германия,user604@,45.0,Электроника,Неизвестно,2023-06-27,True,165.43,45.0,False
152,66.0,2023-08-03,49.53,BEAUTY ,США,user307@,41.0,Красота,Неизвестно,2023-08-03,False,49.53,41.0,False
153,297.0,неизвестно,74.84,bokks,United States,invalid_email,33.0,Книги,США,2023-02-15,False,74.84,33.0,False
154,259.0,18.11.2023,71.58,Eletronics,DE,user260@,63.0,Электроника,Германия,2023-11-18,False,71.58,63.0,False
155,129.0,,66.47,CLOTHING,RU,invalid_email,22.0,Одежда,Россия,2023-02-23,True,66.47,22.0,False
156,265.0,неизвестно,296.66,electronics,Германия,,29.0,Электроника,Неизвестно,2023-03-18,False,294.27599999999995,29.0,False
157,277.0,неизвестно,59.75,cloting,Германия,user338@gmail.com,34.0,Одежда,Неизвестно,2023-02-25,False,59.75,34.0,True
158,139.0,3.1.2023,212.17,BOOK,USA,invalid_email,20.0,Книги,США,2023-01-03,False,212.17,20.0,False
159,294.0,,282.73,books,,invalid_email,50.0,Книги,Неизвестно,2023-08-17,True,282.73,50.0,False
160,219.0,27.2.2023,173.06,Электроника,germany,user507@gmail.com,,Электроника,Германия,2023-02-27,False,173.06,,True
161,150.0,2023-03-14,25.04,clothing,germany,invalid_email,64.0,Одежда,Германия,2023-03-14,False,25.04,64.0,False
162,120.0,,23.47,BEAUTY ,germany,user203@gmail.com,21.0,Красота,Германия,2023-04-18,True,23.47,21.0,True
163,264.0,9/14/2023,168.77,beauty,DE,user35@,38.0,Красота,Германия,2023-09-14,False,168.77,38.0,False
164,276.0,,274.7,elecronics,russia,user977@gmail.com,57.0,Электроника,Россия,2023-12-19,True,274.7,57.0,True
165,76.0,2023-03-26,144.67,beuty,Россия,invalid_email,20.0,Красота,Неизвестно,2023-03-26,False,144.67,20.0,False
166,194.0,11/23/2023,269.61,Красота,,user780gmail.com,59.0,Электроника,Неизвестно,2023-11-23,False,269.61,59.0,False
167,93.0,,98.59,beauty,GERMANY,user701@gmail.com,,Красота,Германия,2023-02-04,True,98.59,,True
168,90.0,,32.43,cloting,US,user344@gmail.com,56.0,Одежда,США,2023-08-10,True,32.43,56.0,True
169,39.0,,280.24,Книги,Russia,invalid_email,62.0,Электроника,Россия,2023-12-12,True,280.24,62.0,False
170,240.0,2023-10-07,20.59,Книги,Германия,invalid_email,47.0,Электроника,Неизвестно,2023-10-07,False,20.59,47.0,False
171,82.0,,39.88,beuty,Германия,,28.0,Красота,Неизвестно,2023-08-14,True,39.88,28.0,False
172,210.0,22.9.2023,53.76,electronics,Russian Federation,user912gmail.com,52.0,Электроника,Россия,2023-09-22,False,53.76,52.0,False
173,213.0,2023-09-23,258.52,elecronics,russia,,61.0,Электроника,Россия,2023-09-23,False,258.52,61.0,False
174,195.0,неизвестно,269.1,elecronics,Russia,invalid_email,18.0,Электроника,Россия,2023-08-03,False,269.1,18.0,False
175,148.0,10.12.2023,-44.72870526056043,BOOKS,,,29.0,Книги,Неизвестно,2023-12-10,False,0.0,29.0,False
176,31.0,неизвестно,293.69,Электроника,США,user666@,44.0,Электроника,Неизвестно,2023-03-24,False,293.69,44.0,False
177,262.0,15.5.2023,287.66,Eletronics,russia,user646gmail.com,30.0,Электроника,Россия,2023-05-15,False,287.66,30.0,False
178,126.0,неизвестно,294.43,cloting,,,59.0,Одежда,Неизвестно,2023-03-23,False,294.27599999999995,59.0,False
179,109.0,26.1.2023,252.59,elecronics,Russia,,28.0,Электроника,Россия,2023-01-26,False,252.59,28.0,False
180,273.0,28.2.2023,76.37,Одежда,RU,user164@,51.0,Электроника,Россия,2023-02-28,False,76.37,51.0,False
181,173.0,неизвестно,36.17,BEAUTY ,US,user558@gmail.com,61.0,Красота,США,2023-05-21,False,36.17,61.0,True
182,70.0,4/6/2023,189.61,beuty,,user974@,64.0,Красота,Неизвестно,2023-04-06,False,189.61,64.0,False
183,163.0,2023-08-20,3560.793246238495,ELECTRONICS,United States,user806@,63.0,Электроника,США,2023-08-20,False,294.27599999999995,63.0,False
184,208.0,6/22/2023,103.83,BEAUTY,Germany,user664@,64.0,Красота,Германия,2023-06-22,False,103.83,64.0,False
185,264.0,1/8/2023,253.56,ELECTRONICS,Германия,,18.0,Электроника,Неизвестно,2023-01-08,False,253.56,18.0,False
186,194.0,2023-02-14,,BOOKS,russia,invalid_email,62.0,Книги,Россия,2023-02-14,False,155.10500000000002,62.0,False
187,123.0,8/17/2023,34.06,electronics,GERMANY,invalid_email,40.0,Электроника,Германия,2023-08-17,False,34.06,40.0,False
188,55.0,22.7.2023,294.11,beuty,,user23gmail.com,69.0,Красота,Неизвестно,2023-07-22,False,294.11,69.0,False
189,14.0,12/14/2023,165.65,Книги,United States,user12gmail.com,28.0,Электроника,США,2023-12-14,False,165.65,28.0,False
190,49.0,2023-01-26,270.8,Красота,United States,invalid_email,28.0,Электроника,США,2023-01-26,False,270.8,28.0,False
191,107.0,9.11.2023,284.04,beuty,,invalid_email,40.0,Красота,Неизвестно,2023-11-09,False,284.04,40.0,False
192,217.0,7/21/2023,233.09,beauty,Россия,user431@gmail.com,29.0,Красота,Неизвестно,2023-07-21,False,233.09,29.0,True
193,101.0,неизвестно,197.64,Электроника,Germany,user873@gmail.com,53.0,Электроника,Германия,2023-05-10,False,197.64,53.0,True
194,16.0,2023-09-06,209.79,Книги,GERMANY,invalid_email,61.0,Электроника,Германия,2023-09-06,False,209.79,61.0,False
195,28.0,2023-04-21,51.22,,Germany,,39.0,Электроника,Германия,2023-04-21,False,51.22,39.0,False
196,138.0,25.3.2023,22.78,BOOKS,Россия,user378@gmail.com,64.0,Книги,Неизвестно,2023-03-25,False,22.78,64.0,True
197,92.0,12/27/2023,122.97,Eletronics,Russian Federation,,24.0,Электроника,Россия,2023-12-27,False,122.97,24.0,False
198,126.0,неизвестно,2199.2021102609438,elecronics,GERMANY,user623@,50.0,Электроника,Германия,2023-01-26,False,294.27599999999995,50.0,False
199,45.0,4.8.2023,155.54,BOOK,Germany,user218@gmail.com,37.0,Книги,Германия,2023-08-04,False,155.54,37.0,True
200,143.0,неизвестно,193.53,,GERMANY,,48.0,Электроника,Германия,2023-08-14,False,193.53,48.0,False
201,49.0,неизвестно,36.98,bokks,,invalid_email,50.0,Книги,Неизвестно,2023-02-06,False,36.98,50.0,False
202,226.0,,280.02,Красота,germany,user909@,61.0,Электроника,Германия,2023-09-26,True,280.02,61.0,False
203,108.0,2023-01-16,204.55,cloting,DE,user252@,28.0,Одежда,Германия,2023-01-16,False,204.55,28.0,False
204,274.0,23.7.2023,,books,RUSSIA,,25.0,Книги,Россия,2023-07-23,False,155.10500000000002,25.0,False
205,8.0,неизвестно,65.56,Красота,Germany,invalid_email,59.0,Электроника,Германия,2023-02-07,False,65.56,59.0,False
206,216.0,12/8/2023,140.04,Электроника,Germany,invalid_email,44.0,Электроника,Германия,2023-12-08,False,140.04,44.0,False
207,129.0,2023-07-17,36.16,clothing,germany,invalid_email,35.0,Одежда,Германия,2023-07-17,False,36.16,35.0,False
208,114.0,2023-10-26,81.84,cloting,RU,user193gmail.com,21.0,Одежда,Россия,2023-10-26,False,81.84,21.0,False
209,139.0,21.3.2023,140.43,clothing,United States,invalid_email,67.0,Одежда,США,2023-03-21,False,140.43,67.0,False
210,221.0,2023-03-16,39.32,BOOK,russia,user707@,51.0,Книги,Россия,2023-03-16,False,39.32,51.0,False
211,24.0,4/3/2023,101.21,Книги,RU,user863@gmail.com,-5.0,Электроника,Россия,2023-04-03,False,101.21,30.0,True
212,138.0,,,BOOK,Россия,user38@,22.0,Книги,Неизвестно,2023-03-23,True,155.10500000000002,22.0,False
213,30.0,,123.86,BOOK,Россия,,33.0,Книги,Неизвестно,2023-09-22,True,123.86,33.0,False
214,287.0,10/27/2023,195.96,beauty,Россия,user560@gmail.com,66.0,Красота,Неизвестно,2023-10-27,False,195.96,66.0,True
215,217.0,4.1.2023,220.01,CLOTHING,Russia,,58.0,Одежда,Россия,2023-01-04,False,220.01,58.0,False
216,141.0,неизвестно,223.58,BOOK,GERMANY,user183@gmail.com,49.0,Книги,Германия,2023-08-10,False,223.58,49.0,True
217,43.0,неизвестно,256.12,elecronics,Russian Federation,user945@,33.0,Электроника,Россия,2023-06-05,False,256.12,33.0,False
218,13.0,19.12.2023,209.6,books,RUSSIA,user376@gmail.com,20.0,Книги,Россия,2023-12-19,False,209.6,20.0,True
219,83.0,18.4.2023,100.54,BOOKS,RU,user283@gmail.com,22.0,Книги,Россия,2023-04-18,False,100.54,22.0,True
220,59.0,2023-02-16,77.51,clothing,Россия,user84@,37.0,Одежда,Неизвестно,2023-02-16,False,77.51,37.0,False
221,202.0,2023-09-08,291.79,Eletronics,US,invalid_email,29.0,Электроника,США,2023-09-08,False,291.79,29.0,False
222,266.0,9/3/2023,291.19,BOOKS,USA,invalid_email,61.0,Книги,США,2023-09-03,False,291.19,61.0,False
223,290.0,6.11.2023,107.61,elecronics,RUSSIA,user65@,32.0,Электроника,Россия,2023-11-06,False,107.61,32.0,False
224,48.0,,210.43,ELECTRONICS,,user301@gmail.com,27.0,Электроника,Неизвестно,2023-12-14,True,210.43,27.0,True
